timestamp,open,high,low,close,volume
2024-03-22 19:55:00,445.8000,445.8000,445.6500,445.6500,4076
2024-03-22 19:50:00,445.8200,445.8500,445.7000,445.8000,620
2024-03-22 19:45:00,445.7850,445.8590,445.7850,445.8400,565
2024-03-22 19:40:00,445.8100,445.8600,445.7950,445.8300,232
2024-03-22 19:35:00,445.8000,445.8600,445.7800,445.8500,492
2024-03-22 19:30:00,445.7150,445.8600,445.7100,445.7800,5510
2024-03-22 19:25:00,445.7000,445.7500,445.7000,445.7200,750
2024-03-22 19:20:00,445.7500,445.7800,445.7000,445.7700,376
2024-03-22 19:15:00,445.7500,445.7900,445.7000,445.7500,628
2024-03-22 19:10:00,445.7700,445.8400,445.7100,445.7500,680
2024-03-22 19:05:00,445.7400,445.8150,445.7000,445.7700,1083
2024-03-22 19:00:00,445.7900,445.7900,445.7100,445.7100,102
2024-03-22 18:55:00,445.7450,445.7900,445.7400,445.7900,431
2024-03-22 18:50:00,445.8000,445.8100,445.7000,445.7000,1479
2024-03-22 18:45:00,445.8090,445.8100,445.7800,445.8000,576
2024-03-22 18:40:00,445.7810,445.8200,445.7800,445.8000,1423
2024-03-22 18:35:00,445.8000,445.8200,445.7700,445.8000,512
2024-03-22 18:30:00,445.7800,445.8200,445.7700,445.8190,1797
2024-03-22 18:25:00,445.8500,445.8500,445.7800,445.8000,253
2024-03-22 18:20:00,445.8700,445.8700,445.8100,445.8200,119
2024-03-22 18:15:00,445.8700,445.8900,445.7000,445.8800,2136
2024-03-22 18:10:00,445.8800,445.9000,445.8500,445.8700,849
2024-03-22 18:05:00,445.9550,445.9550,445.8700,445.8850,1926
2024-03-22 18:00:00,446.0000,446.0100,438.4700,445.9700,1162
2024-03-22 17:55:00,446.0400,446.0500,445.9300,445.9900,1145
2024-03-22 17:50:00,446.0000,446.0700,445.9600,445.9600,4041
2024-03-22 17:45:00,445.9600,446.0400,445.9100,446.0000,5463
2024-03-22 17:40:00,445.9600,445.9800,445.9000,445.9400,1573
2024-03-22 17:35:00,445.9800,445.9800,441.0000,445.9600,115890
2024-03-22 17:30:00,445.9700,446.3800,445.9400,445.9600,83532
2024-03-22 17:25:00,445.9700,446.0000,445.9600,445.9990,5253
2024-03-22 17:20:00,445.9400,446.0000,445.9300,445.9700,5393
2024-03-22 17:15:00,445.9400,445.9400,445.9300,445.9400,1347
2024-03-22 17:10:00,445.9700,446.0000,445.9000,445.9400,2912
2024-03-22 17:05:00,446.0300,446.0300,445.9690,445.9690,4210
2024-03-22 17:00:00,446.0150,446.0900,446.0150,446.0200,2924
2024-03-22 16:55:00,445.9900,446.0800,429.4130,446.0200,7315
2024-03-22 16:50:00,446.0000,446.3800,445.9600,445.9900,10909
2024-03-22 16:45:00,445.9300,446.0150,445.9150,446.0100,22200
2024-03-22 16:40:00,445.9200,446.3800,445.9000,445.9300,143467
2024-03-22 16:35:00,445.9700,445.9800,445.8700,445.9000,28141
2024-03-22 16:30:00,445.9100,445.9900,445.9100,445.9800,5737
2024-03-22 16:25:00,445.9550,445.9900,445.8010,445.9200,219740
2024-03-22 16:20:00,445.9000,445.9800,445.9000,445.9700,115779
2024-03-22 16:15:00,445.9600,446.3800,445.8200,445.9100,38658
2024-03-22 16:10:00,445.9000,446.2650,445.7450,445.9700,770762
2024-03-22 16:05:00,445.9500,446.0100,445.8000,445.8900,369471
2024-03-22 16:00:00,446.2000,446.3800,445.8900,445.9300,719886
2024-03-22 15:55:00,446.7600,446.8200,446.1400,446.2000,1843978
2024-03-22 15:50:00,446.5300,446.9900,446.5300,446.7600,944303
2024-03-22 15:45:00,446.5850,446.7100,446.3820,446.5500,352025
2024-03-22 15:40:00,446.4300,446.6500,446.2700,446.5900,324618
2024-03-22 15:35:00,446.0700,446.4500,446.0500,446.4200,339167
2024-03-22 15:30:00,446.1800,446.2000,445.9200,446.0600,504080
2024-03-22 15:25:00,445.9300,446.2900,445.9200,446.1900,291670
2024-03-22 15:20:00,445.9600,446.0650,445.8190,445.9400,317536
2024-03-22 15:15:00,446.0000,446.1000,445.6000,445.9700,420520
2024-03-22 15:10:00,446.6300,446.6800,445.6700,445.9960,576968
2024-03-22 15:05:00,446.5000,446.6700,446.3300,446.6400,228062
2024-03-22 15:00:00,446.7360,446.7700,446.4200,446.5100,201087
2024-03-22 14:55:00,446.5400,446.8350,446.5350,446.7400,236337
2024-03-22 14:50:00,446.5800,446.7000,446.4520,446.5500,243687
2024-03-22 14:45:00,446.7500,446.8150,446.5200,446.5700,222864
2024-03-22 14:40:00,446.9500,446.9600,446.6900,446.7200,195268
2024-03-22 14:35:00,447.0300,447.1000,446.9400,446.9500,136584
2024-03-22 14:30:00,447.1110,447.1550,446.7500,447.0200,282498
2024-03-22 14:25:00,446.7000,447.1800,446.6700,447.0900,253474
2024-03-22 14:20:00,446.7050,446.7600,446.3950,446.7000,349192
