,0
0,50.3228004914878
1,49.3137438201339
2,49.0848856060124
3,47.6233138294638
4,46.9419405101475
5,48.9236445915177
6,48.7569896386831
7,50.5172825779989
8,49.4756891227825
9,49.9287822758016
10,48.9861401988307
11,49.2777863662913
12,48.8246932132722
13,51.0380793056072
14,54.1316118676001
15,56.1783430071005
16,55.2357009301296
17,54.4232580350607
18,54.6836563988648
19,54.2618110495021
20,53.6733107473048
21,53.8607975692438
22,54.824271515319
23,58.2615299175334
24,60.4124204025554
25,60.7353143736725
26,61.5998369415022
27,59.0427250089458
28,56.7668433092978
29,57.1314010186235
30,56.8970424911998
31,55.7252498540813
32,56.8657946875433
33,57.287640036906
34,56.8710026548194
35,57.350135644219
36,56.2460465816895
37,56.5689405528066
38,57.1574408550039
39,57.1886886586604
40,56.7668433092978
41,56.6366441273957
42,56.1783430071005
43,60.4124204025554
44,58.360481295779
45,60.4124204025554
46,59.370826947339
47,59.1104285835348
48,61.4540138577719
49,61.9748105853801
50,62.2352089491843
51,61.584213039674
52,62.2977045564972
53,60.2822212206534
54,62.2352089491843
55,61.9748105853801
56,63.2768024044007
57,63.2768024044007
58,62.0373061926931
59,60.8030179482616
60,59.1104285835348
61,58.1000829319749
62,58.4594326740245
63,57.287640036906
64,59.1104285835348
65,60.9957127374767
66,60.2145176460643
67,59.4333225546519
68,61.9383548144476
69,61.187650067938
70,62.0999648640434
71,60.1450045866747
72,60.5047172777105
73,61.0573193827801
74,60.3431072281147
75,60.8644299687464
76,58.6488083210618
77,57.8668242101143
78,56.6938480436931
79,57.6061628397985
80,56.3028559882193
81,54.4782263960085
82,53.5659115999031
83,52.262604748324
84,53.7588010139368
85,56.3028559882193
86,53.7275216494989
87,53.696242285061
88,55.3905411921139
89,56.3028559882193
90,54.8692184514823
91,56.1412459386235
92,56.626076087411
93,55.7815332475877
94,56.824178728851
95,57.3455014694826
96,58.7791390062197
97,59.1701310616935
98,59.5611231171672
99,60.0824458577989
100,62.8819489749909
101,66.1402161039388
102,63.8620357273784
103,62.0374061351676
104,63.9923664125363
105,61.7089728085696
106,63.6013743570626
107,63.1791029371509
108,65.1653425789575
109,63.9923664125363
110,64.18525582657
111,63.6639330859384
112,62.2302955492013
113,59.3004617468514
114,57.6687215686743
115,54.7388877663243
116,58.3203749944638
117,58.1274855804301
118,54.7388877663243
119,54.2175650256927
120,55.5208718772718
121,58.6488083210618
122,57.6061628397985
123,57.6687215686743
124,58.1274855804301
125,58.388146950746
126,58.059713624148
127,56.3654147170951
128,56.1047533467793
129,56.2350840319372
130,57.2829427406068
131,56.8914875510355
132,53.7598460344647
133,54.5114399984417
134,54.5114399984417
135,54.3809549352513
136,56.8914875510355
137,56.3016950654147
138,55.3569832079158
139,55.5553205039653
140,57.0219726142259
141,56.0407249390338
142,57.2150905077478
143,55.586636919131
144,55.8162906303462
145,57.9040516413934
146,56.0094085238681
147,55.3256667927501
148,56.7923189030108
149,58.8800799140579
150,58.6504262028427
151,63.154770584177
152,62.5023452682248
153,62.4710288530591
154,62.0273796382115
155,62.2726915570096
156,60.545069320368
157,60.9678409251051
158,59.1097336252731
159,62.8259482249371
160,60.7381872138899
161,59.7621589412254
162,58.3581396612961
