timestamp,open,high,low,close,volume
2024-02-29 19:55:00,439.3450,439.4900,439.3000,439.4800,8795
2024-02-29 19:50:00,439.2050,439.4300,439.2000,439.3400,5710
2024-02-29 19:45:00,439.1600,439.2000,439.1200,439.1700,4778
2024-02-29 19:40:00,439.1100,439.1800,439.0800,439.1500,2433
2024-02-29 19:35:00,439.1100,439.2400,439.1000,439.1100,4921
2024-02-29 19:30:00,439.1900,439.2050,439.0800,439.1000,907
2024-02-29 19:25:00,439.1600,439.2600,439.1600,439.1900,3008
2024-02-29 19:20:00,439.2700,439.3050,439.1800,439.1800,2316
2024-02-29 19:15:00,439.1800,439.2500,439.0900,439.2500,3621
2024-02-29 19:10:00,439.1600,439.2000,439.1300,439.1700,1701
2024-02-29 19:05:00,439.1100,439.1900,439.0000,439.1800,23816
2024-02-29 19:00:00,438.9450,439.1700,438.9100,439.1000,8863
2024-02-29 18:55:00,438.9500,438.9700,438.8600,438.8950,670
2024-02-29 18:50:00,438.8400,438.9600,438.8300,438.9200,7857
2024-02-29 18:45:00,438.6600,438.8400,438.6590,438.8100,4635
2024-02-29 18:40:00,438.6600,438.7100,438.6500,438.6900,1222
2024-02-29 18:35:00,438.7100,438.7300,438.5900,438.7000,4654
2024-02-29 18:30:00,438.8500,438.8650,438.6400,438.7300,6784
2024-02-29 18:25:00,438.7500,438.8600,438.7450,438.8600,4786
2024-02-29 18:20:00,438.9800,439.0000,438.7600,438.7600,44533
2024-02-29 18:15:00,439.1800,439.2200,438.9300,438.9300,17613
2024-02-29 18:10:00,439.2680,439.2850,439.1420,439.1500,2556
2024-02-29 18:05:00,439.4000,439.4550,439.2600,439.2600,5937
2024-02-29 18:00:00,439.2000,439.4150,439.1800,439.4000,35662
2024-02-29 17:55:00,439.1500,439.2800,439.1500,439.2500,4789
2024-02-29 17:50:00,439.1350,439.1750,439.1000,439.1700,1959
2024-02-29 17:45:00,439.1490,439.2000,439.1200,439.1880,3185
2024-02-29 17:40:00,439.1000,439.1400,439.0400,439.1400,15280
2024-02-29 17:35:00,439.0500,439.1000,438.9880,439.0700,5766
