model_type,sequence_length,hidden_dims,num_layers,num_epochs,lr,score
LSTM,10,36,2,100,0.015,0.0004960874782714493
LSTM,10,36,2,100,0.02,0.0004914386317917216
LSTM,10,36,2,120,0.005,0.000513495798894295
LSTM,10,36,2,120,0.01,0.0004909840625637181
LSTM,10,36,2,120,0.015,0.00047320937980497083
LSTM,10,36,2,120,0.02,0.0005072145319836811
LSTM,10,36,2,140,0.005,0.00048711580136273126
LSTM,10,36,2,140,0.01,0.0004709207808056131
LSTM,10,36,2,140,0.015,0.0004934067671654293
LSTM,10,36,2,140,0.02,0.0004850136769497006
LSTM,10,36,2,160,0.005,0.0004718837750210556
LSTM,10,36,2,160,0.01,0.0004764133052555332
LSTM,10,36,2,160,0.015,0.000476703220029105
LSTM,10,36,2,160,0.02,0.0004701946449411411
LSTM,10,36,2,180,0.005,0.00047091352499406113
LSTM,10,36,2,180,0.01,0.0004685219766341971
LSTM,10,36,2,180,0.015,0.00047071781658154517
LSTM,10,36,2,180,0.02,0.0004629193801145265
LSTM,20,20,2,80,0.005,0.0006615918786316292
LSTM,20,20,2,80,0.01,0.0005288132865193293
LSTM,20,20,2,80,0.015,0.0005624403220593583
LSTM,20,20,2,80,0.02,0.0005742076652912345
LSTM,20,20,2,100,0.005,0.000552582460645927
LSTM,20,20,2,100,0.01,0.0005045113473656229
LSTM,20,20,2,100,0.015,0.0004952695948275192
LSTM,20,20,2,100,0.02,0.000499787718501925
LSTM,20,20,2,120,0.005,0.0005356021660460311
LSTM,20,20,2,120,0.01,0.0004853834318425547
LSTM,20,20,2,120,0.015,0.0004994330709065144
LSTM,20,20,2,120,0.02,0.00048539549310447225
LSTM,20,20,2,140,0.005,0.0005215787790659728
LSTM,20,20,2,140,0.01,0.00048476170859967736
LSTM,20,20,2,140,0.015,0.00047466937360538116
LSTM,20,20,2,140,0.02,0.0004848291237157021
LSTM,20,20,2,160,0.005,0.0004816545062728836
LSTM,20,20,2,160,0.01,0.00047635427935252274
LSTM,20,20,2,160,0.015,0.0004900961492817511
LSTM,20,20,2,160,0.02,0.0004764382609235413
LSTM,20,20,2,180,0.005,0.0004681803442591815
LSTM,20,20,2,180,0.01,0.0004677297660606248
LSTM,20,20,2,180,0.015,0.0004754847467660747
LSTM,20,20,2,180,0.02,0.00046447445942271595
LSTM,20,24,2,80,0.005,0.0006210127382262525
LSTM,20,24,2,80,0.01,0.000545932488732512
LSTM,20,24,2,80,0.015,0.0006273658232992791
LSTM,20,24,2,80,0.02,0.0005041213569587742
LSTM,20,24,2,100,0.005,0.0005628417330771846
LSTM,20,24,2,100,0.01,0.00048402157797357905
LSTM,20,24,2,100,0.015,0.0005087108249367802
LSTM,20,24,2,100,0.02,0.0004840269752939031
LSTM,20,24,2,120,0.005,0.0005339078057463145
LSTM,20,24,2,120,0.01,0.0004840853586993302
LSTM,20,24,2,120,0.015,0.00047767020617200137
LSTM,20,24,2,120,0.02,0.0004994378537541253
LSTM,20,24,2,140,0.005,0.00048230797076016275
LSTM,20,24,2,140,0.01,0.00047824700886743386
LSTM,20,24,2,140,0.015,0.0004831824762471071
LSTM,20,24,2,140,0.02,0.0004680817635573601
LSTM,20,24,2,160,0.005,0.00048613909668267853
LSTM,20,24,2,160,0.01,0.0004707893814358916
LSTM,20,24,2,160,0.015,0.00046826228575632095
LSTM,20,24,2,160,0.02,0.00048263430757790424
LSTM,20,24,2,180,0.005,0.00047733103472312016
LSTM,20,24,2,180,0.01,0.00047045085551819537
LSTM,20,24,2,180,0.015,0.0004774329466180771
LSTM,20,24,2,180,0.02,0.000477567843021047
LSTM,20,28,2,80,0.005,0.0006306813956077614
LSTM,20,28,2,80,0.01,0.0005058903275184508
LSTM,20,28,2,80,0.015,0.0005825266063583242
LSTM,20,28,2,80,0.02,0.0005153908102938886
LSTM,20,28,2,100,0.005,0.0005515593655976993
LSTM,20,28,2,100,0.01,0.0004841357179117607
LSTM,20,28,2,100,0.015,0.0004962064316366331
LSTM,20,28,2,100,0.02,0.0005728946928250875
LSTM,20,28,2,120,0.005,0.0004950814891432289
LSTM,20,28,2,120,0.01,0.0004800591103918775
LSTM,20,28,2,120,0.015,0.0004839528708994885
LSTM,20,28,2,120,0.02,0.0004912217950399909
LSTM,20,28,2,140,0.005,0.0005137175047204721
LSTM,20,28,2,140,0.01,0.00048170170782796493
LSTM,20,28,2,140,0.015,0.000469711163279362
LSTM,20,28,2,140,0.02,0.0004642883293195621
LSTM,20,28,2,160,0.005,0.0004811727746503659
LSTM,20,28,2,160,0.01,0.0004853513713718255
LSTM,20,28,2,160,0.015,0.0004835284634675214
LSTM,20,28,2,160,0.02,0.0004817784522804705
LSTM,20,28,2,180,0.005,0.0004796020840671515
LSTM,20,28,2,180,0.01,0.00046880811906726796
LSTM,20,28,2,180,0.015,0.0004927259285289205
LSTM,20,28,2,180,0.02,0.00047877255967526406
LSTM,20,32,2,80,0.005,0.0005796982592911829
LSTM,20,32,2,80,0.01,0.0004937186888602124
LSTM,20,32,2,80,0.015,0.0005579803948949467
LSTM,20,32,2,80,0.02,0.0005042097954543036
LSTM,20,32,2,100,0.005,0.0005377658858860828
LSTM,20,32,2,100,0.01,0.0005082110502294644
LSTM,20,32,2,100,0.015,0.000528460588780736
LSTM,20,32,2,100,0.02,0.0005426733441802367
LSTM,20,32,2,120,0.005,0.0004955822030020255
LSTM,20,32,2,120,0.01,0.0004876745045007772
LSTM,20,32,2,120,0.015,0.0004731936340876896
LSTM,20,32,2,120,0.02,0.0004930890241141795
LSTM,20,32,2,140,0.005,0.000493628024981568
LSTM,20,32,2,140,0.01,0.00047291775615660337
LSTM,20,32,2,140,0.015,0.000492267288574427
LSTM,20,32,2,140,0.02,0.00047391929007770177
LSTM,20,32,2,160,0.005,0.00047762730533553143
LSTM,20,32,2,160,0.01,0.00047156555137339455
LSTM,20,32,2,160,0.015,0.0004693735071338545
LSTM,20,32,2,160,0.02,0.0004635683939871934
LSTM,20,32,2,180,0.005,0.00046971781923732525
LSTM,20,32,2,180,0.01,0.00047854481906709384
LSTM,20,32,2,180,0.015,0.000489912467058713
LSTM,20,32,2,180,0.02,0.0004905356488332256
LSTM,20,36,2,80,0.005,0.0005631229849892889
LSTM,20,36,2,80,0.01,0.0005495627467159932
LSTM,20,36,2,80,0.015,0.0005770405975957307
LSTM,20,36,2,80,0.02,0.0005476014220226294
LSTM,20,36,2,100,0.005,0.0005548458698886314
LSTM,20,36,2,100,0.01,0.0005282736052012852
LSTM,20,36,2,100,0.015,0.0005288264904166437
LSTM,20,36,2,100,0.02,0.0004747374927125242
LSTM,20,36,2,120,0.005,0.0004910406787769253
LSTM,20,36,2,120,0.01,0.0004771766772910463
LSTM,20,36,2,120,0.015,0.0005279261508118624
LSTM,20,36,2,120,0.02,0.0005011702202317065
LSTM,20,36,2,140,0.005,0.00047789509223734064
LSTM,20,36,2,140,0.01,0.00046659167003854383
LSTM,20,36,2,140,0.015,0.00047007291415428686
LSTM,20,36,2,140,0.02,0.0004940596663035559
LSTM,20,36,2,160,0.005,0.00047071280338551884
LSTM,20,36,2,160,0.01,0.0004667771527100188
LSTM,20,36,2,160,0.015,0.0004787632335414479
LSTM,20,36,2,160,0.02,0.0004706330837486234
LSTM,20,36,2,180,0.005,0.00046574348787812366
LSTM,20,36,2,180,0.01,0.00047051223265469593
LSTM,20,36,2,180,0.015,0.0004816130309289566
LSTM,20,36,2,180,0.02,0.00046834804076350265
LSTM,30,20,2,80,0.005,0.0006259578077489828
